"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples","MutationPercentage","MutationGroup"
"ZNF804A",0,0,0,3,30,0,0,0,0,33,8,8,100,"76-100%"
"ABCA7",0,0,0,0,32,0,0,0,0,32,8,8,100,"76-100%"
"ADAMTSL3",0,0,0,0,32,0,0,0,0,32,8,8,100,"76-100%"
"ALPK1",0,0,1,0,31,0,0,0,0,32,8,8,100,"76-100%"
"BPIFB4",0,0,0,0,32,0,0,0,0,32,8,8,100,"76-100%"
"CCDC66",0,0,0,13,19,0,0,0,0,32,8,8,100,"76-100%"
"COL4A4",0,0,0,0,32,0,0,0,0,32,8,8,100,"76-100%"
"DNAH12",0,0,0,0,32,0,0,0,0,32,8,8,100,"76-100%"
"KIF20B",0,0,0,5,27,0,0,0,0,32,8,8,100,"76-100%"
"LILRB2",0,0,0,1,31,0,0,0,0,32,8,8,100,"76-100%"
"MYG1",0,0,0,0,32,0,0,0,0,32,8,8,100,"76-100%"
"NBPF26",1,0,0,0,31,0,0,0,0,32,8,8,100,"76-100%"
"NOTCH4",0,0,6,2,24,0,0,0,0,32,8,8,100,"76-100%"
"OR8U3",0,0,0,0,32,0,0,0,0,32,8,8,100,"76-100%"
"RAET1E",0,0,0,0,32,0,0,0,0,32,8,8,100,"76-100%"
"SPTA1",0,0,0,0,32,0,0,0,0,32,8,8,100,"76-100%"
"SYTL2",0,0,0,0,32,0,0,0,0,32,8,8,100,"76-100%"
"TSPAN10",0,4,0,0,28,0,0,0,0,32,8,8,100,"76-100%"
"UMODL1",0,0,0,0,31,0,0,1,0,32,8,8,100,"76-100%"
"ZDHHC11B",0,0,0,0,24,0,0,0,8,32,8,8,100,"76-100%"
"ZNF681",4,0,0,0,28,0,0,0,0,32,8,8,100,"76-100%"
"C7orf57",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"CFAP74",0,0,0,2,29,0,0,0,0,31,8,8,100,"76-100%"
"CRACD",0,0,0,2,29,0,0,0,0,31,8,8,100,"76-100%"
"DCHS2",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"EBLN2",0,6,0,1,24,0,0,0,0,31,8,8,100,"76-100%"
"ESPNL",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"FAM149A",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"FMN1",0,0,1,0,30,0,0,0,0,31,8,8,100,"76-100%"
"KANK4",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"LRRC37A2",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"MYO3B",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"NACA",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"OBSL1",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"OR52N4",0,0,0,0,27,4,0,0,0,31,8,8,100,"76-100%"
